,Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
18,1980-05-31,1980,May,1,98.72,0.85,38434,1200.5,4,53.0,0.14,5.3,798.0,MediumFamilyCar,California
19,1980-06-30,1980,Jun,1,105.55,0.97,18598,2341.5,5,20.3,-1.61,2.9,967.1,SuperMiniCar,Illinois
20,1980-06-30,1980,Jun,1,105.55,0.98,75734,1260.6999999999998,5,20.3,-1.61,2.9,967.1,Sports,Illinois
21,1980-06-30,1980,Jun,1,105.55,0.77,32590,2341.5,5,20.3,-1.61,2.9,967.1,MediumFamilyCar,Illinois
22,1980-07-31,1980,Jul,1,82.45,0.5,31063,2573.2,3,34.58,0.41,2.9,716.0,MediumFamilyCar,Illinois
23,1980-07-31,1980,Jul,1,82.45,0.5,76265,1386.0,3,34.58,0.41,2.9,261.0,Sports,Illinois
24,1980-07-31,1980,Jul,1,82.45,0.5,57421,1386.0,3,34.58,0.41,2.9,275.0,ExecutiveCar,Illinois
25,1980-08-31,1980,Aug,1,98.76,0.25,70466,1429.4,3,55.65,0.38,3.0,271.0,Sports,New York
26,1980-08-31,1980,Aug,1,98.76,0.25,59949,1429.4,3,55.65,0.38,3.0,272.0,ExecutiveCar,New York
27,1980-08-31,1980,Aug,1,98.76,0.25,18233,2654.4,3,55.65,0.38,3.0,716.0,SuperMiniCar,New York
28,1980-08-31,1980,Aug,1,98.76,0.25,34324,2654.4,3,55.65,0.38,3.0,709.0,MediumFamilyCar,New York
29,1980-09-30,1980,Sep,1,87.68,0.77,54452,557.9,3,33.31,-0.67,5.2,967.1,ExecutiveCar,California
30,1980-09-30,1980,Sep,1,87.68,0.85,39111,1035.3,3,33.31,-0.67,5.2,967.1,MediumFamilyCar,California
31,1980-09-30,1980,Sep,1,87.68,0.78,74426,557.9,3,33.31,-0.67,5.2,967.1,Sports,California
32,1980-10-31,1980,Oct,1,101.45,0.65,55881,2244.9,5,42.52,0.22,4.4,220.0,ExecutiveCar,New York
33,1980-10-31,1980,Oct,1,101.45,0.64,75578,2244.9,5,42.52,0.22,4.4,230.0,Sports,New York
34,1980-10-31,1980,Oct,1,101.45,0.69,35342,4169.9,5,42.52,0.22,4.4,595.0,MediumFamilyCar,New York
35,1980-10-31,1980,Oct,1,101.45,0.62,16980,4169.9,5,42.52,0.22,4.4,607.0,SuperMiniCar,New York
36,1980-10-31,1980,Oct,1,101.45,0.67,23726,4169.9,5,42.52,0.22,4.4,580.0,SmallFamilyCar,New York
37,1980-11-30,1980,Nov,1,102.36,0.88,78322,2419.9,5,43.3,0.02,2.6,280.0,Sports,California
38,1980-11-30,1980,Nov,1,102.36,0.9,56665,2419.9,5,43.3,0.02,2.6,289.0,ExecutiveCar,California
39,1980-11-30,1980,Nov,1,102.36,0.87,23642,4494.7,5,43.3,0.02,2.6,776.0,SmallFamilyCar,California
40,1980-12-31,1980,Dec,1,102.33,1.38,23993,3542.0,6,23.54,-0.84,3.3,1136.0,SmallFamilyCar,New York
41,1980-12-31,1980,Dec,1,102.33,1.13,52849,1906.8,6,23.54,-0.84,3.3,673.0,ExecutiveCar,New York
42,1980-12-31,1980,Dec,1,102.33,1.27,16855,3542.0,6,23.54,-0.84,3.3,1143.0,SuperMiniCar,New York
43,1980-12-31,1980,Dec,1,102.33,1.25,30005,3542.0,6,23.54,-0.84,3.3,1120.0,MediumFamilyCar,New York
44,1981-01-31,1981,Jan,1,95.2,0.46,18056,2753.8,8,32.25,0.27,5.9,149.0,SuperMiniCar,Illinois
45,1981-01-31,1981,Jan,1,95.2,0.44,57390,1482.6,8,32.25,0.27,5.9,48.0,ExecutiveCar,Illinois
46,1981-01-31,1981,Jan,1,95.2,0.44,71685,1482.6,8,32.25,0.27,5.9,48.0,Sports,Illinois
47,1981-02-28,1981,Feb,1,122.98,0.46,70769,1619.8,9,30.89,-0.04,5.8,105.0,Sports,California
48,1981-02-28,1981,Feb,1,122.98,0.49,56905,1619.8,9,30.89,-0.04,5.8,102.0,ExecutiveCar,California
49,1981-02-28,1981,Feb,1,122.98,0.43,15792,3008.6,9,30.89,-0.04,5.8,284.0,SuperMiniCar,California
50,1981-03-31,1981,Mar,1,87.32,0.87,37489,4316.9,4,15.78,-0.96,4.4,711.74,MediumFamilyCar,Georgia
51,1981-03-31,1981,Mar,1,87.32,0.92,52489,2324.7,4,15.78,-0.96,4.4,711.74,ExecutiveCar,Georgia
52,1981-03-31,1981,Mar,1,87.32,0.9,76949,2324.7,4,15.78,-0.96,4.4,711.74,Sports,Georgia
53,1981-03-31,1981,Mar,1,87.32,0.94,20488,4316.9,4,15.78,-0.96,4.4,711.74,SmallFamilyCar,Georgia
54,1981-04-30,1981,Apr,1,86.71,1.0,72433,931.7,6,15.68,-0.01,2.8,227.0,Sports,California
55,1981-04-30,1981,Apr,1,86.71,1.0,15791,1729.6999999999998,6,15.68,-0.01,2.8,679.0,SuperMiniCar,California
56,1981-04-30,1981,Apr,1,86.71,1.0,25657,1729.6999999999998,6,15.68,-0.01,2.8,637.0,SmallFamilyCar,California
57,1981-04-30,1981,Apr,1,86.71,1.0,59823,931.7,6,15.68,-0.01,2.8,236.0,ExecutiveCar,California
58,1981-05-31,1981,May,1,116.55,0.99,59207,827.4,4,55.25,0.72,4.1,711.74,ExecutiveCar,California
59,1981-05-31,1981,May,1,116.55,0.87,16809,1537.1999999999998,4,55.25,0.72,4.1,711.74,SuperMiniCar,California
60,1981-05-31,1981,May,1,116.55,0.86,20046,1537.1999999999998,4,55.25,0.72,4.1,711.74,SmallFamilyCar,California
61,1981-05-31,1981,May,1,116.55,0.9,75311,827.4,4,55.25,0.72,4.1,711.74,Sports,California
62,1981-06-30,1981,Jun,1,92.96,0.89,17255,2765.7,9,27.88,-0.98,4.3,711.74,SuperMiniCar,California
63,1981-06-30,1981,Jun,1,92.96,0.9,38659,2765.7,9,27.88,-0.98,4.3,711.74,MediumFamilyCar,California
64,1981-06-30,1981,Jun,1,92.96,0.82,23359,2765.7,9,27.88,-0.98,4.3,711.74,SmallFamilyCar,California
65,1981-07-31,1981,Jul,1,90.55,0.5,18610,918.4,8,39.89,0.3,5.6,618.0,SuperMiniCar,New York
66,1981-07-31,1981,Jul,1,90.55,0.5,75051,494.2,8,39.89,0.3,5.6,228.0,Sports,New York
67,1981-07-31,1981,Jul,1,90.55,0.5,38195,918.4,8,39.89,0.3,5.6,643.0,MediumFamilyCar,New York
68,1981-08-31,1981,Aug,1,123.03,0.25,16607,1146.6,5,29.14,-0.37,3.7,711.74,SuperMiniCar,New York
69,1981-08-31,1981,Aug,1,123.03,0.25,24873,1146.6,5,29.14,-0.37,3.7,711.74,SmallFamilyCar,New York
70,1981-08-31,1981,Aug,1,123.03,0.25,59540,617.4,5,29.14,-0.37,3.7,711.74,ExecutiveCar,New York
71,1981-09-30,1981,Sep,1,109.86,0.88,54611,1441.3,8,60.59,0.52,3.1,711.74,ExecutiveCar,Illinois
72,1981-09-30,1981,Sep,1,109.86,0.88,35966,2677.5,8,60.59,0.52,3.1,711.74,MediumFamilyCar,Illinois
73,1981-09-30,1981,Sep,1,109.86,0.95,76420,1441.3,8,60.59,0.52,3.1,711.74,Sports,Illinois
74,1981-09-30,1981,Sep,1,109.86,0.89,25135,2677.5,8,60.59,0.52,3.1,711.74,SmallFamilyCar,Illinois
75,1981-10-31,1981,Oct,1,94.06,0.68,71184,1309.6999999999998,5,27.21,-1.23,4.7,219.0,Sports,Illinois
76,1981-10-31,1981,Oct,1,94.06,0.68,38837,2432.5,5,27.21,-1.23,4.7,634.0,MediumFamilyCar,Illinois
77,1981-10-31,1981,Oct,1,94.06,0.65,52839,1309.6999999999998,5,27.21,-1.23,4.7,231.0,ExecutiveCar,Illinois
78,1981-10-31,1981,Oct,1,94.06,0.68,24806,2432.5,5,27.21,-1.23,4.7,663.0,SmallFamilyCar,Illinois
79,1981-11-30,1981,Nov,1,102.18,0.86,20400,2929.5,9,35.55,0.23,3.3,565.0,SmallFamilyCar,Georgia
80,1981-11-30,1981,Nov,1,102.18,0.88,58527,1577.1,9,35.55,0.23,3.3,196.0,ExecutiveCar,Georgia
81,1981-11-30,1981,Nov,1,102.18,0.81,15984,2929.5,9,35.55,0.23,3.3,545.0,SuperMiniCar,Georgia
82,1981-12-31,1981,Dec,1,119.46,1.41,74555,1933.4,8,57.26,0.38,2.6,460.0,Sports,California
83,1981-12-31,1981,Dec,1,119.46,1.05,55878,1933.4,8,57.26,0.38,2.6,451.0,ExecutiveCar,California
84,1981-12-31,1981,Dec,1,119.46,1.21,30117,3589.6,8,57.26,0.38,2.6,952.0,MediumFamilyCar,California
85,1981-12-31,1981,Dec,1,119.46,1.41,18676,3589.6,8,57.26,0.38,2.6,955.0,SuperMiniCar,California
86,1981-12-31,1981,Dec,1,119.46,1.39,23990,3589.6,8,57.26,0.38,2.6,928.0,SmallFamilyCar,California
87,1982-01-31,1982,Jan,1,106.92,0.36,18380,2784.6,6,55.76,-0.03,5.3,234.0,SuperMiniCar,New York
88,1982-01-31,1982,Jan,1,106.92,0.37,73385,1499.4,6,55.76,-0.03,5.3,82.0,Sports,New York
89,1982-01-31,1982,Jan,1,106.92,0.49,25913,2784.6,6,55.76,-0.03,5.3,236.0,SmallFamilyCar,New York
90,1982-01-31,1982,Jan,1,106.92,0.36,59087,1499.4,6,55.76,-0.03,5.3,76.0,ExecutiveCar,New York
91,1982-01-31,1982,Jan,1,106.92,0.39,32551,2784.6,6,55.76,-0.03,5.3,222.0,MediumFamilyCar,New York
92,1982-02-28,1982,Feb,1,112.86,0.34,56303,1073.8,7,23.62,-1.36,4.2,114.0,ExecutiveCar,Illinois
93,1982-02-28,1982,Feb,1,112.86,0.38,35560,1993.6,7,23.62,-1.36,4.2,298.0,MediumFamilyCar,Illinois
94,1982-02-28,1982,Feb,1,112.86,0.44,76396,1073.8,7,23.62,-1.36,4.2,104.0,Sports,Illinois
95,1982-02-28,1982,Feb,1,112.86,0.39,15519,1993.6,7,23.62,-1.36,4.2,302.0,SuperMiniCar,Illinois
96,1982-02-28,1982,Feb,1,112.86,0.43,27124,1993.6,7,23.62,-1.36,4.2,300.0,SmallFamilyCar,Illinois
97,1982-03-31,1982,Mar,1,108.05,0.83,23157,4288.9,6,53.83,0.56,5.0,1221.0,SmallFamilyCar,New York
98,1982-03-31,1982,Mar,1,108.05,0.91,34289,4288.9,6,53.83,0.56,5.0,1262.0,MediumFamilyCar,New York
99,1982-03-31,1982,Mar,1,108.05,0.95,50851,2309.3,6,53.83,0.56,5.0,765.0,ExecutiveCar,New York
100,1982-03-31,1982,Mar,1,108.05,0.8,15590,4288.9,6,53.83,0.56,5.0,1264.0,SuperMiniCar,New York
101,1982-03-31,1982,Mar,1,108.05,0.79,78666,2309.3,6,53.83,0.56,5.0,767.0,Sports,New York
102,1982-04-30,1982,Apr,1,109.3,1.0,51687,1283.1,4,36.95,-0.46,3.2,217.0,ExecutiveCar,California
103,1982-04-30,1982,Apr,1,109.3,1.0,30846,2383.5,4,36.95,-0.46,3.2,605.0,MediumFamilyCar,California
104,1982-04-30,1982,Apr,1,109.3,1.0,79274,1283.1,4,36.95,-0.46,3.2,208.0,Sports,California
105,1982-05-31,1982,May,1,100.4,0.88,16050,1201.1999999999998,6,38.16,0.03,4.0,766.0,SuperMiniCar,Illinois
106,1982-05-31,1982,May,1,100.4,0.87,24345,1201.1999999999998,6,38.16,0.03,4.0,755.0,SmallFamilyCar,Illinois
107,1982-05-31,1982,May,1,100.4,0.94,36316,1201.1999999999998,6,38.16,0.03,4.0,793.0,MediumFamilyCar,Illinois
108,1982-05-31,1982,May,1,100.4,0.94,56833,646.8,6,38.16,0.03,4.0,277.0,ExecutiveCar,Illinois
109,1982-06-30,1982,Jun,1,100.11,0.87,20390,2131.5,9,21.04,-0.81,3.8,1211.0,SmallFamilyCar,New York
110,1982-06-30,1982,Jun,1,100.11,0.95,52427,1147.3,9,21.04,-0.81,3.8,748.0,ExecutiveCar,New York
111,1982-06-30,1982,Jun,1,100.11,0.96,36469,2131.5,9,21.04,-0.81,3.8,1248.0,MediumFamilyCar,New York
112,1982-06-30,1982,Jun,1,100.11,0.92,18633,2131.5,9,21.04,-0.81,3.8,1192.0,SuperMiniCar,New York
113,1982-07-31,1982,Jul,1,102.67,0.5,59760,1291.5,3,18.45,-0.14,3.2,282.0,ExecutiveCar,Illinois
114,1982-07-31,1982,Jul,1,102.67,0.5,39333,2398.9,3,18.45,-0.14,3.2,736.0,MediumFamilyCar,Illinois
115,1982-07-31,1982,Jul,1,102.67,0.5,23853,2398.9,3,18.45,-0.14,3.2,715.0,SmallFamilyCar,Illinois
116,1982-07-31,1982,Jul,1,102.67,0.5,19444,2398.9,3,18.45,-0.14,3.2,734.0,SuperMiniCar,Illinois
117,1982-08-31,1982,Aug,1,107.34,0.25,24430,3072.3,4,50.17,0.63,4.6,534.0,SmallFamilyCar,California
118,1982-08-31,1982,Aug,1,107.34,0.25,72558,1654.1,4,50.17,0.63,4.6,208.0,Sports,California
119,1982-08-31,1982,Aug,1,107.34,0.25,54000,1654.1,4,50.17,0.63,4.6,206.0,ExecutiveCar,California
120,1982-08-31,1982,Aug,1,107.34,0.25,38915,3072.3,4,50.17,0.63,4.6,554.0,MediumFamilyCar,California
121,1982-08-31,1982,Aug,1,107.34,0.25,15959,3072.3,4,50.17,0.63,4.6,580.0,SuperMiniCar,California
122,1982-09-30,1982,Sep,1,97.17,0.91,77849,1877.4,8,38.83,-0.29,2.8,789.0,Sports,Georgia
123,1982-09-30,1982,Sep,1,97.17,0.79,55052,1877.4,8,38.83,-0.29,2.8,780.0,ExecutiveCar,Georgia
124,1982-09-30,1982,Sep,1,97.17,0.76,15692,3487.4,8,38.83,-0.29,2.8,1238.0,SuperMiniCar,Georgia
125,1982-09-30,1982,Sep,1,97.17,0.97,30224,3487.4,8,38.83,-0.29,2.8,1262.0,MediumFamilyCar,Georgia
126,1982-10-31,1982,Oct,1,101.22,0.7,20628,3479.7,4,35.91,-0.08,4.1,736.0,SmallFamilyCar,New York
127,1982-10-31,1982,Oct,1,101.22,0.67,18899,3479.7,4,35.91,-0.08,4.1,711.0,SuperMiniCar,New York
128,1982-10-31,1982,Oct,1,101.22,0.69,52738,1873.9,4,35.91,-0.08,4.1,258.0,ExecutiveCar,New York
129,1982-10-31,1982,Oct,1,101.22,0.69,72047,1873.9,4,35.91,-0.08,4.1,267.0,Sports,New York
130,1982-10-31,1982,Oct,1,101.22,0.66,34208,3479.7,4,35.91,-0.08,4.1,703.0,MediumFamilyCar,New York
131,1982-11-30,1982,Nov,1,96.9,0.84,19473,2724.4,7,50.25,0.29,5.4,116.0,SuperMiniCar,Georgia
132,1982-11-30,1982,Nov,1,96.9,0.82,27686,2724.4,7,50.25,0.29,5.4,100.0,SmallFamilyCar,Georgia
133,1982-11-30,1982,Nov,1,96.9,0.83,55732,1467.1999999999998,7,50.25,0.29,5.4,40.0,ExecutiveCar,Georgia
134,1982-12-31,1982,Dec,1,101.16,1.35,36283,3601.4999999999995,5,52.01,0.03,3.6,3260.0,MediumFamilyCar,Georgia
135,1982-12-31,1982,Dec,1,101.16,1.45,17946,3601.4999999999995,5,52.01,0.03,3.6,3232.0,SuperMiniCar,Georgia
136,1982-12-31,1982,Dec,1,101.16,1.33,55387,1939.7,5,52.01,0.03,3.6,758.0,ExecutiveCar,Georgia
137,1982-12-31,1982,Dec,1,101.16,1.13,24232,3601.4999999999995,5,52.01,0.03,3.6,3247.0,SmallFamilyCar,Georgia
138,1983-01-31,1983,Jan,0,87.49,0.45,32048,2943.0,8,22.29,-1.33,3.2,288.0,MediumFamilyCar,Illinois
139,1983-01-31,1983,Jan,0,87.49,0.37,58002,2943.0,8,22.29,-1.33,3.2,308.0,ExecutiveCar,Illinois
140,1983-01-31,1983,Jan,0,87.49,0.42,15526,2943.0,8,22.29,-1.33,3.2,309.0,SuperMiniCar,Illinois
141,1983-02-28,1983,Feb,0,126.06,0.44,18224,4621.0,4,12.82,-1.12,2.4,1874.0,SuperMiniCar,Georgia
142,1983-02-28,1983,Feb,0,126.06,0.37,36233,4621.0,4,12.82,-1.12,2.4,1922.0,MediumFamilyCar,Georgia
143,1983-02-28,1983,Feb,0,126.06,0.45,72747,4621.0,4,12.82,-1.12,2.4,1886.0,Sports,Georgia
144,1983-02-28,1983,Feb,0,126.06,0.39,55536,4621.0,4,12.82,-1.12,2.4,1893.0,ExecutiveCar,Georgia
145,1983-02-28,1983,Feb,0,126.06,0.44,22930,4621.0,4,12.82,-1.12,2.4,1884.0,SmallFamilyCar,Georgia
146,1983-03-31,1983,Mar,0,92.67,0.96,17253,3038.0,8,12.94,0.01,1.5,6128.0,SuperMiniCar,California
147,1983-03-31,1983,Mar,0,92.67,0.97,79167,3038.0,8,12.94,0.01,1.5,6149.0,Sports,California
148,1983-03-31,1983,Mar,0,92.67,0.83,26831,3038.0,8,12.94,0.01,1.5,6165.0,SmallFamilyCar,California
149,1983-04-30,1983,Apr,0,96.39,1.0,53913,4490.0,8,25.21,0.49,2.0,3203.0,ExecutiveCar,Illinois
150,1983-04-30,1983,Apr,0,96.39,1.0,79998,4490.0,8,25.21,0.49,2.0,3192.0,Sports,Illinois
151,1983-04-30,1983,Apr,0,96.39,1.0,39765,4490.0,8,25.21,0.49,2.0,3260.0,MediumFamilyCar,Illinois
152,1983-04-30,1983,Apr,0,96.39,1.0,21521,4490.0,8,25.21,0.49,2.0,3224.0,SmallFamilyCar,Illinois
153,1983-04-30,1983,Apr,0,96.39,1.0,18344,4490.0,8,25.21,0.49,2.0,3216.0,SuperMiniCar,Illinois
154,1983-05-31,1983,May,0,91.81,0.95,18965,4677.0,8,14.63,-0.72,2.3,915.0,SuperMiniCar,California
155,1983-05-31,1983,May,0,91.81,0.82,70189,4677.0,8,14.63,-0.72,2.3,928.0,Sports,California
156,1983-05-31,1983,May,0,91.81,0.91,51066,4677.0,8,14.63,-0.72,2.3,885.0,ExecutiveCar,California
157,1983-05-31,1983,May,0,91.81,0.99,31828,4677.0,8,14.63,-0.72,2.3,878.0,MediumFamilyCar,California
158,1983-06-30,1983,Jun,0,106.16,0.83,72734,2118.0,5,18.76,0.22,2.3,7314.0,Sports,Illinois
159,1983-06-30,1983,Jun,0,106.16,0.88,31917,2118.0,5,18.76,0.22,2.3,7383.0,MediumFamilyCar,Illinois
160,1983-06-30,1983,Jun,0,106.16,0.76,57723,2118.0,5,18.76,0.22,2.3,7398.0,ExecutiveCar,Illinois
161,1983-06-30,1983,Jun,0,106.16,0.82,16875,2118.0,5,18.76,0.22,2.3,7396.0,SuperMiniCar,Illinois
162,1983-06-30,1983,Jun,0,106.16,0.78,20826,2118.0,5,18.76,0.22,2.3,7381.0,SmallFamilyCar,Illinois
163,1983-07-31,1983,Jul,0,98.04,0.5,16763,4888.0,9,32.15,0.42,3.0,475.0,SuperMiniCar,Georgia
164,1983-07-31,1983,Jul,0,98.04,0.5,54380,4888.0,9,32.15,0.42,3.0,475.0,ExecutiveCar,Georgia
165,1983-07-31,1983,Jul,0,98.04,0.5,34234,4888.0,9,32.15,0.42,3.0,421.0,MediumFamilyCar,Georgia
166,1983-07-31,1983,Jul,0,98.04,0.5,24822,4888.0,9,32.15,0.42,3.0,451.0,SmallFamilyCar,Georgia
167,1983-07-31,1983,Jul,0,98.04,0.5,73005,4888.0,9,32.15,0.42,3.0,377.0,Sports,Georgia
168,1983-08-31,1983,Aug,0,90.36,0.25,36988,2604.0,6,59.05,0.46,2.4,4164.0,MediumFamilyCar,California
169,1983-08-31,1983,Aug,0,90.36,0.25,21500,2604.0,6,59.05,0.46,2.4,4158.0,SmallFamilyCar,California
170,1983-08-31,1983,Aug,0,90.36,0.25,74658,2604.0,6,59.05,0.46,2.4,4117.0,Sports,California
171,1983-08-31,1983,Aug,0,90.36,0.25,54107,2604.0,6,59.05,0.46,2.4,4169.0,ExecutiveCar,California
172,1983-08-31,1983,Aug,0,90.36,0.25,15520,2604.0,6,59.05,0.46,2.4,4114.0,SuperMiniCar,California
173,1983-09-30,1983,Sep,0,106.57,0.85,71899,3365.0,8,45.68,-0.29,1.7,6764.0,Sports,New York
174,1983-09-30,1983,Sep,0,106.57,0.86,32026,3365.0,8,45.68,-0.29,1.7,6812.0,MediumFamilyCar,New York
175,1983-09-30,1983,Sep,0,106.57,0.99,55726,3365.0,8,45.68,-0.29,1.7,6784.0,ExecutiveCar,New York
176,1983-09-30,1983,Sep,0,106.57,0.84,26737,3365.0,8,45.68,-0.29,1.7,6756.0,SmallFamilyCar,New York
177,1983-10-31,1983,Oct,0,107.92,0.68,53373,1235.0,3,42.24,-0.08,1.1,4692.0,ExecutiveCar,Illinois
178,1983-10-31,1983,Oct,0,107.92,0.64,33744,1235.0,3,42.24,-0.08,1.1,4674.0,MediumFamilyCar,Illinois
179,1983-10-31,1983,Oct,0,107.92,0.7,77734,1235.0,3,42.24,-0.08,1.1,4712.0,Sports,Illinois
180,1983-10-31,1983,Oct,0,107.92,0.66,16016,1235.0,3,42.24,-0.08,1.1,4679.0,SuperMiniCar,Illinois
181,1983-11-30,1983,Nov,0,99.33,0.82,39093,2969.0,9,29.52,-0.43,1.3,2986.0,MediumFamilyCar,California
182,1983-11-30,1983,Nov,0,99.33,0.88,58945,2969.0,9,29.52,-0.43,1.3,2972.0,ExecutiveCar,California
183,1983-11-30,1983,Nov,0,99.33,0.85,15116,2969.0,9,29.52,-0.43,1.3,3001.0,SuperMiniCar,California
184,1983-12-31,1983,Dec,0,93.36,1.49,23294,1333.0,7,66.54,0.56,3.0,22993.0,SmallFamilyCar,Illinois
185,1983-12-31,1983,Dec,0,93.36,1.3,71267,1333.0,7,66.54,0.56,3.0,4042.0,Sports,Illinois
186,1983-12-31,1983,Dec,0,93.36,1.26,17433,1333.0,7,66.54,0.56,3.0,22996.0,SuperMiniCar,Illinois
187,1984-01-31,1984,Jan,0,121.91,0.38,15583,2908.0,5,35.53,-0.87,1.2,1660.0,SuperMiniCar,New York
188,1984-01-31,1984,Jan,0,121.91,0.42,25085,2908.0,5,35.53,-0.87,1.2,1630.0,SmallFamilyCar,New York
189,1984-01-31,1984,Jan,0,121.91,0.46,71528,2908.0,5,35.53,-0.87,1.2,1634.0,Sports,New York
190,1984-01-31,1984,Jan,0,121.91,0.49,52082,2908.0,5,35.53,-0.87,1.2,1636.0,ExecutiveCar,New York
191,1984-02-29,1984,Feb,0,103.4,0.4,15394,1375.0,4,17.55,-1.02,1.4,1944.0,SuperMiniCar,New York
192,1984-02-29,1984,Feb,0,103.4,0.42,30009,1375.0,4,17.55,-1.02,1.4,1921.0,MediumFamilyCar,New York
193,1984-02-29,1984,Feb,0,103.4,0.37,22419,1375.0,4,17.55,-1.02,1.4,1938.0,SmallFamilyCar,New York
194,1984-03-31,1984,Mar,0,87.26,0.93,18788,4530.0,5,48.29,0.64,1.4,6920.0,SuperMiniCar,Georgia
195,1984-03-31,1984,Mar,0,87.26,0.98,20934,4530.0,5,48.29,0.64,1.4,6959.0,SmallFamilyCar,Georgia
196,1984-03-31,1984,Mar,0,87.26,1.0,73556,4530.0,5,48.29,0.64,1.4,6883.0,Sports,Georgia
197,1984-03-31,1984,Mar,0,87.26,0.95,58967,4530.0,5,48.29,0.64,1.4,6910.0,ExecutiveCar,Georgia
198,1984-03-31,1984,Mar,0,87.26,0.82,30260,4530.0,5,48.29,0.64,1.4,6880.0,MediumFamilyCar,Georgia
199,1984-04-30,1984,Apr,0,114.14,1.0,23042,2160.0,4,19.1,-1.53,2.1,2538.0,SmallFamilyCar,Illinois
200,1984-04-30,1984,Apr,0,114.14,1.0,17768,2160.0,4,19.1,-1.53,2.1,2482.0,SuperMiniCar,Illinois
201,1984-04-30,1984,Apr,0,114.14,1.0,36038,2160.0,4,19.1,-1.53,2.1,2469.0,MediumFamilyCar,Illinois
202,1984-04-30,1984,Apr,0,114.14,1.0,73890,2160.0,4,19.1,-1.53,2.1,2516.0,Sports,Illinois
203,1984-05-31,1984,May,0,91.44,0.83,24497,3635.0,5,32.52,0.41,2.2,897.0,SmallFamilyCar,Georgia
204,1984-05-31,1984,May,0,91.44,0.87,39865,3635.0,5,32.52,0.41,2.2,814.0,MediumFamilyCar,Georgia
205,1984-05-31,1984,May,0,91.44,0.85,56748,3635.0,5,32.52,0.41,2.2,902.0,ExecutiveCar,Georgia
206,1984-06-30,1984,Jun,0,127.42,0.83,19167,2570.0,4,41.93,0.22,2.4,5278.0,SuperMiniCar,New York
207,1984-06-30,1984,Jun,0,127.42,1.0,59817,2570.0,4,41.93,0.22,2.4,5256.0,ExecutiveCar,New York
208,1984-06-30,1984,Jun,0,127.42,0.86,78838,2570.0,4,41.93,0.22,2.4,5330.0,Sports,New York
209,1984-06-30,1984,Jun,0,127.42,0.85,32219,2570.0,4,41.93,0.22,2.4,5316.0,MediumFamilyCar,New York
210,1984-06-30,1984,Jun,0,127.42,0.88,21466,2570.0,4,41.93,0.22,2.4,5288.0,SmallFamilyCar,New York
211,1984-07-31,1984,Jul,0,100.8,0.5,37041,3560.0,8,63.2,0.34,2.9,4584.0,MediumFamilyCar,New York
